OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae sedis,Pyrenochaeta,Pyrenochaeta sp
OTU_164,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Typhulaceae,Typhula,Typhula sp
OTU_165,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Dendryphion,Dendryphion nanum
OTU_167,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales sp
OTU_168,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Edenia,Edenia gomezpompae
OTU_169,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,unidentified,Chaetomiaceae sp
OTU_170,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,Pyronemataceae sp
OTU_171,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae sedis,Cadophora,Cadophora sp
OTU_172,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora citricola
OTU_173,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_174,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,Basidiomycota sp
OTU_175,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium minutisporum
OTU_176,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Myrothecium,Myrothecium verrucaria
OTU_177,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales sp
OTU_178,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora sp
OTU_179,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_180,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,Cladorrhinum bulbillosum
OTU_181,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_182,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
OTU_183,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps chlamydosporia
OTU_184,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_185,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Incertae sedis,Savoryella,Savoryella appendiculata
OTU_186,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_187,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_188,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora ellisiana
OTU_189,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe moseri
OTU_190,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Laetisaria,Laetisaria arvalis
OTU_191,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe zeylanica
OTU_192,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_193,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_194,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,Acremonium,Acremonium sp
OTU_195,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,Lycoperdon pratense
OTU_196,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium marquandii
OTU_197,Fungi,Ascomycota,Incertae sedis,Incertae sedis,Incertae sedis,Clohesyomyces,Clohesyomyces sp
OTU_199,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_200,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_201,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Paecilomyces,Paecilomyces sp
OTU_202,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes sp
OTU_203,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia boninensis
OTU_204,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,unidentified,Agaricaceae sp
