OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_132,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,,
OTU_133,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,,
OTU_134,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_135,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_136,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
OTU_137,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
OTU_140,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,
OTU_141,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,
OTU_142,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
OTU_144,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
OTU_145,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_146,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
OTU_147,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_148,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU_149,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU_150,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_151,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_152,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU_153,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,
OTU_154,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,
OTU_155,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,
OTU_156,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU_157,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_158,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU_160,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,
OTU_161,Bacteria,Gemmatimonadetes,Gemmatimonadetes,N1423WL,,,
OTU_162,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
OTU_164,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU_165,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_166,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU_167,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,
OTU_168,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU_169,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU_170,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
OTU_171,Bacteria,Acidobacteria,PAUC37f,,,,
OTU_172,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,
OTU_173,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium,
OTU_174,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU_175,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Flavisolibacter,
OTU_176,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU_177,Bacteria,Chloroflexi,TK10,,,,
OTU_178,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU_179,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
OTU_180,Bacteria,Chloroflexi,TK10,B07_WMSP1,,,
OTU_181,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_182,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,,
OTU_183,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_184,Bacteria,Chloroflexi,Ellin6529,,,,
OTU_185,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_186,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU_187,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU_188,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_189,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,
OTU_190,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU_191,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Candidatus Xiphinematobacter,
OTU_192,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU_193,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
OTU_194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
OTU_195,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU_196,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
OTU_197,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU_198,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU_199,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_200,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
OTU_201,Bacteria,Chloroflexi,TK10,B07_WMSP1,FFCH4570,,
